MFT
Instrument: FIGA
User-local contact: campbe-CAMP
Title: Langmuir Film Formation on Deep Eutectic Solvents
Subtitle: 188uL dDMPC on hDES
Start date + time: 23-Oct-15 12:40:03
End date + time: 26-Oct-15 06:31:41
Theta 1 + dir + ref numbers:  0.62; 548888; 548909 (Calc. method = incoherent)
Theta 2 + dir + ref numbers:  3.79; 548894; 548910 (Calc. method = incoherent)
Theta 3 + dir + ref numbers:  0.00; ;  (Calc. method = incoherent)
Param 1 :      0.00000 Not defined
Param 2 :      0.00000 Not defined
Param 3 :      0.00000 Not defined
Param 4 :      0.00000 Not defined
Param 5 :      0.00000 Not defined
Param 6 :      0.00000 Not defined
Param 7 :      0.00000 Not defined
Param 8 :      0.00000 Not defined
Param 9 :      0.00000 Not defined
Number of file format: 12
Number of data points:           75

                   q                refl            refl_err        q_res (FWHM)
          0.00721131           0.0379703          0.00221963         0.000561685
          0.00753578           0.0351468          0.00192408         0.000585286
          0.00787140           0.0308054          0.00163456         0.000612333
          0.00822458           0.0265201          0.00134407         0.000640689
          0.00859549           0.0208974          0.00105636         0.000670329
          0.00898408           0.0174809         0.000844393         0.000701205
          0.00939005           0.0169333         0.000733614         0.000733242
          0.00981276           0.0151639         0.000623299         0.000766335
           0.0102646           0.0131848         0.000509715         0.000807191
           0.0107475           0.0118958         0.000442847         0.000845089
           0.0112483           0.0111508         0.000402746         0.000883968
           0.0117650           0.0104880         0.000363304         0.000923589
           0.0123145          0.00913158         0.000313760         0.000973545
           0.0128982          0.00829833         0.000288814          0.00101814
           0.0134952          0.00702748         0.000250036          0.00106301
           0.0141268          0.00658059         0.000217654          0.00112057
           0.0147935          0.00584987         0.000190616          0.00117023
           0.0154974          0.00503618         0.000157413          0.00123487
           0.0162388          0.00441509         0.000139774          0.00128943
           0.0170195          0.00454397         0.000130003          0.00136150
           0.0178386          0.00389629         0.000117163          0.00142084
           0.0186975          0.00334812         0.000101596          0.00150041
           0.0195942          0.00319813         9.80690E-05          0.00156408
           0.0205286          0.00274760         8.58003E-05          0.00165069
           0.0215578          0.00254983         7.79284E-05          0.00174777
           0.0226292          0.00231971         7.48055E-05          0.00182254
           0.0237419          0.00207730         6.81147E-05          0.00192730
           0.0249706          0.00191996         6.31839E-05          0.00204516
           0.0262435          0.00165558         6.21031E-05          0.00213190
           0.0275568          0.00148526         5.84395E-05          0.00225721
           0.0290094          0.00134880         5.70292E-05          0.00239847
           0.0305013          0.00127638         6.11438E-05          0.00249705
           0.0320242          0.00104044         5.53640E-05          0.00264372
           0.0337079          0.00104597         5.77194E-05          0.00280892
           0.0347665         0.000853995         0.000126011          0.00277953
           0.0362965         0.000936498         4.63876E-05          0.00291966
           0.0379858         0.000774673         3.74107E-05          0.00304874
           0.0397433         0.000746876         3.26083E-05          0.00319537
           0.0416010         0.000676678         2.68353E-05          0.00335029
           0.0435631         0.000628109         2.31214E-05          0.00351374
           0.0456337         0.000532514         1.91343E-05          0.00368597
           0.0478163         0.000522324         1.65551E-05          0.00386708
           0.0501137         0.000465845         1.41503E-05          0.00405715
           0.0525276         0.000419971         1.20205E-05          0.00425608
           0.0550586         0.000355688         1.02066E-05          0.00446361
           0.0577056         0.000339949         8.84693E-06          0.00467939
           0.0604655         0.000298161         7.87337E-06          0.00490273
           0.0633325         0.000261640         6.81951E-06          0.00513272
           0.0662981         0.000245510         6.13081E-06          0.00536835
           0.0694551         0.000203489         5.20384E-06          0.00566106
           0.0728140         0.000192865         4.73619E-06          0.00592770
           0.0762657         0.000168984         4.14122E-06          0.00619817
           0.0799276         0.000152444         3.64847E-06          0.00653963
           0.0838063         0.000140376         3.31101E-06          0.00684186
           0.0879193         0.000122123         2.90443E-06          0.00722894
           0.0922721         9.83411E-05         2.65379E-06          0.00756559
           0.0968811         9.22625E-05         2.41320E-06          0.00800315
            0.101749         8.26036E-05         2.25858E-06          0.00837600
            0.106892         7.15348E-05         2.05270E-06          0.00886715
            0.112307         6.21198E-05         1.91592E-06          0.00927596
            0.118008         5.10723E-05         1.76692E-06          0.00982330
            0.123981         4.91554E-05         1.73693E-06           0.0102661
            0.130233         4.56434E-05         1.62008E-06           0.0108666
            0.136738         4.06265E-05         1.56950E-06           0.0113387
            0.143492         3.15359E-05         1.48994E-06           0.0119867
            0.150948         2.39219E-05         1.43725E-06           0.0127148
            0.158671         1.86263E-05         1.49468E-06           0.0132637
            0.166634         1.90639E-05         1.51019E-06           0.0140356
            0.175442         1.94296E-05         1.56883E-06           0.0149071
            0.184490         9.99181E-06         1.76663E-06           0.0155327
            0.193721         9.20861E-06         1.75616E-06           0.0164396
            0.203924         3.31704E-06         1.88554E-06           0.0174564
            0.215266         6.82376E-06         1.93469E-06           0.0186127
            0.228049         6.80887E-06         2.12470E-06           0.0196181
            0.238451         6.55085E-06         2.10833E-06           0.0205550
