MFT
Instrument: FIGA
User-local contact: campbe-CAMP
Title: Langmuir Film Formation on Deep Eutectic Solvents
Subtitle: 70uL DMPC on hdDES A
Start date + time: 23-Oct-15 12:40:03
End date + time: 26-Oct-15 00:36:03
Theta 1 + dir + ref numbers:  0.62; 548888; 548901 (Calc. method = incoherent)
Theta 2 + dir + ref numbers:  3.79; 548894; 548902 (Calc. method = incoherent)
Theta 3 + dir + ref numbers:  0.00; ;  (Calc. method = incoherent)
Param 1 :      0.00000 Not defined
Param 2 :      0.00000 Not defined
Param 3 :      0.00000 Not defined
Param 4 :      0.00000 Not defined
Param 5 :      0.00000 Not defined
Param 6 :      0.00000 Not defined
Param 7 :      0.00000 Not defined
Param 8 :      0.00000 Not defined
Param 9 :      0.00000 Not defined
Number of file format: 12
Number of data points:           74

                   q                refl            refl_err        q_res (FWHM)
          0.00720414            0.961001           0.0211761         0.000593222
          0.00755058            0.968120           0.0188165         0.000623392
          0.00791218            0.972399           0.0172308         0.000651504
          0.00828800            0.952095           0.0150086         0.000683668
          0.00868548            0.962346           0.0131309         0.000717590
          0.00910512            0.955934           0.0113546         0.000753272
          0.00954723            0.977998           0.0101884         0.000790690
           0.0100118            0.998913          0.00921365         0.000829785
           0.0104986            0.960330          0.00808672         0.000870459
           0.0110068            0.969110          0.00753998         0.000912566
           0.0115350            0.773328          0.00601276         0.000955910
           0.0121002            0.415201          0.00364473          0.00100982
           0.0127047            0.211146          0.00232433          0.00105943
           0.0133293            0.131000          0.00168899          0.00111001
           0.0139955           0.0868245          0.00121631          0.00117405
           0.0147055           0.0632296         0.000940375          0.00123130
           0.0154317           0.0468748         0.000746705          0.00128883
           0.0162016           0.0354970         0.000582585          0.00136295
           0.0170160           0.0282142         0.000494583          0.00142679
           0.0178774           0.0222823         0.000405794          0.00151026
           0.0187857           0.0172855         0.000348437          0.00158047
           0.0197429           0.0133508         0.000286186          0.00167364
           0.0207474           0.0108720         0.000254940          0.00174988
           0.0218002          0.00822151         0.000209165          0.00185253
           0.0229667          0.00687686         0.000181905          0.00196840
           0.0241889          0.00539085         0.000164106          0.00205975
           0.0254666          0.00458366         0.000146476          0.00218662
           0.0267928          0.00369243         0.000139794          0.00228293
           0.0281641          0.00304585         0.000128206          0.00241840
           0.0296842          0.00240989         0.000117732          0.00257138
           0.0312490          0.00186182         0.000112178          0.00268180
           0.0328503          0.00165604         0.000106990          0.00284145
           0.0343117          0.00153404         0.000130693          0.00289770
           0.0362576          0.00115213         4.11295E-05          0.00288682
           0.0379153          0.00104787         3.37533E-05          0.00302424
           0.0396681         0.000963153         2.83744E-05          0.00316952
           0.0415203         0.000781266         2.23873E-05          0.00332298
           0.0434764         0.000666352         1.82767E-05          0.00348485
           0.0454955         0.000578670         1.53348E-05          0.00363212
           0.0475694         0.000542206         1.34334E-05          0.00380029
           0.0497917         0.000454083         1.07268E-05          0.00400311
           0.0521750         0.000413260         9.27073E-06          0.00419786
           0.0546724         0.000360761         7.83295E-06          0.00440093
           0.0572824         0.000314392         6.73348E-06          0.00461185
           0.0600017         0.000283713         5.82971E-06          0.00482995
           0.0628246         0.000237665         5.01972E-06          0.00505441
           0.0657424         0.000220622         4.50200E-06          0.00528412
           0.0688459         0.000192409         3.79683E-06          0.00556956
           0.0721452         0.000170848         3.43961E-06          0.00582891
           0.0755327         0.000149192         3.05345E-06          0.00609169
           0.0791231         0.000137667         2.67106E-06          0.00642360
           0.0829226         0.000122759         2.42564E-06          0.00671668
           0.0869474         0.000106468         2.12737E-06          0.00709200
           0.0912022         9.53021E-05         1.96845E-06          0.00741770
           0.0957021         8.51590E-05         1.76286E-06          0.00784065
            0.100450         7.93498E-05         1.70032E-06          0.00820001
            0.105458         7.02343E-05         1.54552E-06          0.00867363
            0.110725         5.55422E-05         1.43943E-06          0.00906670
            0.116262         5.06648E-05         1.33137E-06          0.00959248
            0.122055         4.54050E-05         1.29970E-06           0.0100165
            0.128108         4.21090E-05         1.22242E-06           0.0105918
            0.134398         3.92965E-05         1.20976E-06           0.0110416
            0.140917         3.54756E-05         1.14315E-06           0.0116595
            0.148100         2.65688E-05         1.08456E-06           0.0123531
            0.155526         2.59614E-05         1.13202E-06           0.0128721
            0.163170         2.32380E-05         1.13289E-06           0.0136053
            0.171603         1.97971E-05         1.15368E-06           0.0144299
            0.180962         1.58710E-05         1.20376E-06           0.0153599
            0.190599         1.44531E-05         1.32772E-06           0.0160189
            0.200464         1.09269E-05         1.36195E-06           0.0169902
            0.211413         6.81843E-06         1.39718E-06           0.0180935
            0.222536         9.16263E-06         1.56041E-06           0.0188277
            0.233005         4.51154E-06         1.60987E-06           0.0199259
            0.246084         3.23729E-06         1.64812E-06           0.0211818
