MFT
Instrument: FIGA
User-local contact: campbe-CAMP
Title: Langmuir Film Formation on Deep Eutectic Solvents
Subtitle: dDPPC 30uL 1:2 h-ChC
Start date + time: 23-Oct-15 12:40:03
End date + time: 25-Oct-15 00:58:04
Theta 1 + dir + ref numbers:  0.62; 548799; 548861 (Calc. method = incoherent)
Theta 2 + dir + ref numbers:  3.79; 548800; 548862 (Calc. method = incoherent)
Theta 3 + dir + ref numbers:  0.00; ;  (Calc. method = incoherent)
Param 1 :      0.00000 Not defined
Param 2 :      0.00000 Not defined
Param 3 :      0.00000 Not defined
Param 4 :      0.00000 Not defined
Param 5 :      0.00000 Not defined
Param 6 :      0.00000 Not defined
Param 7 :      0.00000 Not defined
Param 8 :      0.00000 Not defined
Param 9 :      0.00000 Not defined
Number of file format: 12
Number of data points:           71

                   q                refl            refl_err        q_res (FWHM)
          0.00721663           0.0401788          0.00192425         0.000638762
          0.00758508           0.0323551          0.00152314         0.000670612
          0.00797364           0.0274067          0.00123414         0.000706976
          0.00839029           0.0248250          0.00102363         0.000746012
          0.00882714           0.0196448         0.000797144         0.000782718
          0.00928313           0.0160279         0.000598105         0.000824736
          0.00976786           0.0144820         0.000498781         0.000869301
           0.0102823           0.0128668         0.000412261         0.000916441
           0.0108270           0.0110794         0.000342539         0.000966144
           0.0114024          0.00940324         0.000287739          0.00101835
           0.0120082          0.00803419         0.000246235          0.00107295
           0.0126435          0.00702160         0.000215826          0.00112973
           0.0133067          0.00600532         0.000188622          0.00118842
           0.0139952          0.00497997         0.000158951          0.00124864
           0.0147333          0.00457596         0.000130693          0.00132407
           0.0155239          0.00417635         0.000112613          0.00139307
           0.0163372          0.00358776         9.65361E-05          0.00146293
           0.0172045          0.00306568         8.04338E-05          0.00155192
           0.0181275          0.00275306         7.32196E-05          0.00163057
           0.0191102          0.00243316         6.34513E-05          0.00173225
           0.0201535          0.00207855         5.72615E-05          0.00182015
           0.0212611          0.00197543         5.25259E-05          0.00193552
           0.0224325          0.00167500         4.83628E-05          0.00203270
           0.0236702          0.00153369         4.40738E-05          0.00216215
           0.0249712          0.00130466         4.13118E-05          0.00226793
           0.0263359          0.00124908         3.95884E-05          0.00241076
           0.0278596          0.00101098         3.58739E-05          0.00257336
           0.0294562         0.000973904         3.80773E-05          0.00270089
           0.0311240         0.000798384         3.46135E-05          0.00287846
           0.0329930         0.000665998         3.21960E-05          0.00308166
           0.0344629         0.000682488         5.03516E-05          0.00307655
           0.0362794         0.000506892         3.57449E-05          0.00292693
           0.0379694         0.000531822         3.19056E-05          0.00305650
           0.0397276         0.000518169         2.72308E-05          0.00320362
           0.0415860         0.000398512         2.09325E-05          0.00335906
           0.0435488         0.000352172         1.78564E-05          0.00352307
           0.0456201         0.000321606         1.50879E-05          0.00369586
           0.0478033         0.000301286         1.28725E-05          0.00387761
           0.0501012         0.000279156         1.12261E-05          0.00406833
           0.0525156         0.000262430         9.85773E-06          0.00426795
           0.0550471         0.000240324         8.33607E-06          0.00447622
           0.0576946         0.000209942         7.13297E-06          0.00469277
           0.0604548         0.000190376         6.33511E-06          0.00491691
           0.0633222         0.000162565         5.41618E-06          0.00514786
           0.0662882         0.000153398         4.90439E-06          0.00538439
           0.0694455         0.000129618         4.20002E-06          0.00567801
           0.0728047         0.000126465         3.83282E-06          0.00594570
           0.0762567         0.000112586         3.43123E-06          0.00621728
           0.0799186         9.88628E-05         2.96209E-06          0.00655966
           0.0837978         8.39826E-05         2.69419E-06          0.00686350
           0.0879108         8.26802E-05         2.37689E-06          0.00725164
           0.0922638         7.29042E-05         2.17609E-06          0.00759000
           0.0968727         5.99157E-05         1.94718E-06          0.00802879
            0.101741         5.51415E-05         1.80832E-06          0.00840323
            0.106884         4.69213E-05         1.63312E-06          0.00889615
            0.112299         4.13931E-05         1.55119E-06          0.00930729
            0.117999         3.40555E-05         1.40806E-06          0.00985685
            0.123972         3.19660E-05         1.38382E-06           0.0103015
            0.130222         2.72418E-05         1.29010E-06           0.0109045
            0.136728         2.40456E-05         1.26652E-06           0.0113787
            0.143482         2.15663E-05         1.19947E-06           0.0120293
            0.150938         1.65488E-05         1.14204E-06           0.0127606
            0.158657         1.74842E-05         1.21463E-06           0.0133116
            0.166622         1.40825E-05         1.23628E-06           0.0140899
            0.175431         1.10896E-05         1.28828E-06           0.0149656
            0.185225         1.16733E-05         1.33534E-06           0.0159600
            0.195335         8.91552E-06         1.44550E-06           0.0166676
            0.205713         7.30308E-06         1.50165E-06           0.0177102
            0.217259         5.98870E-06         1.53269E-06           0.0188978
            0.229620         7.25141E-06         1.70717E-06           0.0196865
            0.240882         2.46712E-06         1.74500E-06           0.0208902
