MFT
Instrument: FIGA
User-local contact: campbe-CAMP
Title: Langmuir Film Formation on Deep Eutectic Solvents
Subtitle: dDPPC 11uL 1:2 h-ChC
Start date + time: 23-Oct-15 12:40:03
End date + time: 24-Oct-15 22:25:57
Theta 1 + dir + ref numbers:  0.62; 548799; 548856 (Calc. method = incoherent)
Theta 2 + dir + ref numbers:  3.79; 548800; 548857 548858 (Calc. method = incoherent)
Theta 3 + dir + ref numbers:  0.00; ;  (Calc. method = incoherent)
Param 1 :      0.00000 Not defined
Param 2 :      0.00000 Not defined
Param 3 :      0.00000 Not defined
Param 4 :      0.00000 Not defined
Param 5 :      0.00000 Not defined
Param 6 :      0.00000 Not defined
Param 7 :      0.00000 Not defined
Param 8 :      0.00000 Not defined
Param 9 :      0.00000 Not defined
Number of file format: 12
Number of data points:           71

                   q                refl            refl_err        q_res (FWHM)
          0.00721663           0.0248131          0.00149419         0.000645036
          0.00759216           0.0198184          0.00118314         0.000680899
          0.00798915           0.0155347         0.000934370         0.000715486
          0.00840759           0.0148443         0.000788214         0.000755051
          0.00884641           0.0109982         0.000594944         0.000792350
          0.00930456           0.0104923         0.000478443         0.000834973
          0.00979171          0.00786704         0.000369859         0.000880194
           0.0103088          0.00751352         0.000311944         0.000928046
           0.0108566          0.00558922         0.000240005         0.000978524
           0.0114353          0.00466606         0.000201240          0.00103157
           0.0120448          0.00375562         0.000167759          0.00108706
           0.0126842          0.00325276         0.000146227          0.00114481
           0.0133520          0.00296295         0.000131452          0.00120454
           0.0140711          0.00231701         0.000103424          0.00127900
           0.0148453          0.00204607         8.59376E-05          0.00134832
           0.0156486          0.00170885         7.07585E-05          0.00141927
           0.0164755          0.00154783         6.23471E-05          0.00149119
           0.0173582          0.00123682         5.09202E-05          0.00158264
           0.0182984          0.00108545         4.56902E-05          0.00166377
           0.0193006         0.000924379         3.89372E-05          0.00176851
           0.0203656         0.000830648         3.63179E-05          0.00185942
           0.0214976         0.000713720         3.17986E-05          0.00197856
           0.0226961         0.000639669         2.98133E-05          0.00207934
           0.0239642         0.000584833         2.70827E-05          0.00221339
           0.0252988         0.000497910         2.57469E-05          0.00232343
           0.0267009         0.000406409         2.31218E-05          0.00247180
           0.0282686         0.000329527         2.09772E-05          0.00264102
           0.0299141         0.000312351         2.23085E-05          0.00277439
           0.0316359         0.000290004         2.14266E-05          0.00295991
           0.0335691         0.000210748         1.97151E-05          0.00317268
           0.0347727         0.000251464         5.35893E-05          0.00313838
           0.0362810         0.000156483         1.33849E-05          0.00294466
           0.0380023         0.000147231         1.14552E-05          0.00309115
           0.0397967         0.000137272         9.82883E-06          0.00322904
           0.0416618         0.000106700         7.91739E-06          0.00338584
           0.0436320         0.000114551         7.09564E-06          0.00355131
           0.0457115         0.000109183         6.10392E-06          0.00372570
           0.0479038         8.44571E-05         5.04620E-06          0.00390912
           0.0502117         8.17840E-05         4.41538E-06          0.00410165
           0.0526372         7.81591E-05         4.01206E-06          0.00430319
           0.0551808         6.90572E-05         3.43732E-06          0.00451353
           0.0578415         5.90230E-05         2.99197E-06          0.00473225
           0.0606163         5.72574E-05         2.70294E-06          0.00495873
           0.0634995         5.51651E-05         2.40983E-06          0.00519209
           0.0665789         4.21862E-05         2.06350E-06          0.00548061
           0.0698677         3.95500E-05         1.87741E-06          0.00574722
           0.0732690         3.84036E-05         1.72445E-06          0.00601984
           0.0767664         3.22106E-05         1.56761E-06          0.00629655
           0.0804789         3.33310E-05         1.37616E-06          0.00664520
           0.0844141         2.89610E-05         1.27056E-06          0.00695501
           0.0885898         2.50546E-05         1.13534E-06          0.00735083
           0.0930121         2.22970E-05         1.07037E-06          0.00769649
           0.0976981         2.09660E-05         9.72777E-07          0.00814459
            0.102652         1.83819E-05         9.49847E-07          0.00852775
            0.107890         1.91400E-05         8.64058E-07          0.00903199
            0.113410         1.50262E-05         8.28686E-07          0.00945343
            0.119228         1.57940E-05         7.64236E-07           0.0100158
            0.125329         1.36325E-05         7.61515E-07           0.0104725
            0.131721         1.03236E-05         7.19202E-07           0.0110924
            0.138380         1.12974E-05         7.16478E-07           0.0115796
            0.145302         9.08441E-06         6.98945E-07           0.0122494
            0.152953         7.65924E-06         6.79758E-07           0.0130033
            0.160888         7.84674E-06         7.29615E-07           0.0135717
            0.169085         7.11700E-06         7.56674E-07           0.0143747
            0.178164         7.24050E-06         8.02699E-07           0.0152823
            0.187496         4.48380E-06         8.88546E-07           0.0159310
            0.197038         5.87643E-06         9.12115E-07           0.0168749
            0.207603         1.71877E-06         9.44750E-07           0.0179444
            0.219369         2.73407E-06         9.59976E-07           0.0191462
            0.231320         2.82622E-06         1.08194E-06           0.0199577
            0.243476         3.75599E-06         1.10530E-06           0.0211846
