MFT
Instrument: FIGA
User-local contact: campbe-CAMP
Title: Langmuir Film Formation on Deep Eutectic Solvents
Subtitle: 119uL dDPPC on hDES
Start date + time: 26-Oct-15 08:22:49
End date + time: 26-Oct-15 09:06:17
Theta 1 + dir + ref numbers:  0.62; 548888; 548913 (Calc. method = incoherent)
Theta 2 + dir + ref numbers:  3.79; 548894; 548914 (Calc. method = incoherent)
Theta 3 + dir + ref numbers:  0.00; ;  (Calc. method = incoherent)
Param 1 :      0.00000 Not defined
Param 2 :      0.00000 Not defined
Param 3 :      0.00000 Not defined
Param 4 :      0.00000 Not defined
Param 5 :      0.00000 Not defined
Param 6 :      0.00000 Not defined
Param 7 :      0.00000 Not defined
Param 8 :      0.00000 Not defined
Param 9 :      0.00000 Not defined
Number of file format: 12
Number of data points:           73

                   q                refl            refl_err        q_res (FWHM)
          0.00721798           0.0331024          0.00215655         0.000594464
          0.00756378           0.0277136          0.00173916         0.000624603
          0.00792477           0.0251583          0.00150623         0.000652709
          0.00830002           0.0213038          0.00122012         0.000684852
          0.00869693           0.0191605          0.00100676         0.000718758
          0.00911604           0.0165891         0.000817890         0.000754425
          0.00955764           0.0147677         0.000677521         0.000791834
           0.0100218           0.0128732         0.000565297         0.000830922
           0.0105081           0.0114669         0.000479551         0.000871592
           0.0110158           0.0103250         0.000421759         0.000913701
           0.0115436          0.00919221         0.000372732         0.000957050
           0.0121084          0.00798356         0.000314864          0.00101095
           0.0127124          0.00703367         0.000281340          0.00106057
           0.0133366          0.00597758         0.000245185          0.00111116
           0.0140025          0.00568510         0.000215083          0.00117519
           0.0147121          0.00508950         0.000186107          0.00123247
           0.0154380          0.00476028         0.000166360          0.00129002
           0.0162076          0.00410137         0.000138947          0.00136414
           0.0170216          0.00381791         0.000128155          0.00142802
           0.0178828          0.00334146         0.000111447          0.00151149
           0.0187907          0.00310811         0.000104452          0.00158174
           0.0197477          0.00272177         9.17044E-05          0.00167492
           0.0207519          0.00242341         8.57547E-05          0.00175121
           0.0218044          0.00212871         7.56873E-05          0.00185388
           0.0229706          0.00206669         7.15611E-05          0.00196977
           0.0241926          0.00171028         6.55447E-05          0.00206119
           0.0254701          0.00158030         6.10504E-05          0.00218808
           0.0267960          0.00134192         5.94971E-05          0.00228447
           0.0281671          0.00116869         5.72060E-05          0.00241998
           0.0296870          0.00110643         5.73960E-05          0.00257299
           0.0312516         0.000958942         5.75647E-05          0.00268352
           0.0328527         0.000875852         5.58835E-05          0.00284319
           0.0343138         0.000765013         6.74618E-05          0.00289962
           0.0362957         0.000709010         3.29991E-05          0.00292082
           0.0379849         0.000706929         2.84507E-05          0.00305000
           0.0397423         0.000585542         2.31170E-05          0.00319674
           0.0415999         0.000554681         1.97743E-05          0.00335177
           0.0435619         0.000510719         1.67081E-05          0.00351536
           0.0456324         0.000453484         1.39309E-05          0.00368773
           0.0478149         0.000397138         1.17308E-05          0.00386902
           0.0501121         0.000358092         1.01352E-05          0.00405925
           0.0525259         0.000319614         8.73965E-06          0.00425834
           0.0550567         0.000299226         7.51118E-06          0.00446613
           0.0577035         0.000259177         6.41137E-06          0.00468212
           0.0604632         0.000231918         5.73004E-06          0.00490568
           0.0633300         0.000219279         5.02766E-06          0.00513601
           0.0662954         0.000197297         4.53523E-06          0.00537194
           0.0694521         0.000180338         3.90959E-06          0.00566491
           0.0728106         0.000153729         3.39027E-06          0.00593195
           0.0762621         0.000139807         3.11036E-06          0.00620282
           0.0799235         0.000122998         2.71256E-06          0.00654469
           0.0838019         0.000115770         2.46641E-06          0.00684750
           0.0879144         0.000101709         2.19516E-06          0.00723516
           0.0922666         8.73501E-05         2.02324E-06          0.00757236
           0.0968750         7.84952E-05         1.81806E-06          0.00801044
            0.101743         7.03986E-05         1.73788E-06          0.00838398
            0.106885         5.85232E-05         1.57519E-06          0.00887588
            0.112299         5.39386E-05         1.48448E-06          0.00928577
            0.117999         4.61411E-05         1.35252E-06          0.00983432
            0.123971         4.06334E-05         1.32459E-06           0.0102780
            0.130222         3.79930E-05         1.23505E-06           0.0108799
            0.136726         3.14322E-05         1.22494E-06           0.0113528
            0.143478         2.68401E-05         1.17269E-06           0.0120024
            0.150935         2.28266E-05         1.12901E-06           0.0127316
            0.158655         2.08380E-05         1.16050E-06           0.0132831
            0.166616         1.72106E-05         1.19295E-06           0.0140568
            0.175423         1.85276E-05         1.24362E-06           0.0149304
            0.184466         1.29749E-05         1.39405E-06           0.0155584
            0.193694         1.17356E-05         1.40183E-06           0.0164666
            0.203894         1.31197E-05         1.47779E-06           0.0174881
            0.215232         5.92959E-06         1.49672E-06           0.0186507
            0.228013         1.02493E-05         1.68379E-06           0.0196557
            0.238411         5.76389E-06         1.71517E-06           0.0206030
